"node","total_degree"
"R-BTA-8854691","3"
"R-MMU-168176","3"
"R-DRE-844455","3"
"R-DDI-1852241","3"
"R-CFA-156587","3"
"C537311","3"
"R-PFA-1852241","3"
"R-HSA-5578996","3"
"R-BTA-1234158","3"
"R-DDI-74158","3"
"R-SCE-2565942","3"
"R-CFA-71064","3"
"R-SPO-157579","3"
"R-SCE-983189","3"
"R-DME-166187","3"
"R-CEL-1169091","3"
"R-SPO-8943724","3"
"R-CEL-110373","3"
"R-SSC-4641263","3"
"R-XTR-8963676","3"
"R-SPO-8868773","3"
"R-BTA-982772","3"
"R-SCE-8963899","3"
"R-SSC-2142670","3"
"R-DME-166520","3"
"R-DRE-1489509","3"
"R-SSC-417957","3"
"R-XTR-5654727","3"
"R-CFA-111458","3"
"R-BTA-8983711","3"
"R-SSC-5693571","3"
"R-SSC-5218900","3"
"R-RNO-198765","3"
"R-SSC-71384","3"
"R-SPO-174824","3"
"R-SSC-3000480","3"
"R-GGA-5362798","3"
"R-SCE-112316","3"
"R-SSC-196843","3"
"R-MMU-72312","3"
"MIM:602491","3"
"R-MMU-1483152","3"
"R-DRE-72203","3"
"R-DDI-389542","3"
"R-BTA-141333","3"
"R-DME-8963743","3"
"R-BTA-190704","3"
"R-SSC-166665","3"
"MIM:619855","3"
"R-PFA-4420097","3"
"R-SPO-500792","3"
"R-XTR-964739","3"
"R-HSA-2206280","3"
"R-GGA-8964058","3"
"R-MMU-9843745","3"
"C538216","3"
"R-SSC-8949215","3"
"R-SCE-194138","3"
"R-SSC-391251","3"
"R-CEL-112308","3"
"R-PFA-2428924","3"
"R-CEL-6807047","3"
"R-CEL-5693616","3"
"R-DRE-1614558","3"
"R-DDI-163560","3"
"R-DRE-9013420","3"
"R-HSA-5684045","3"
"R-SPO-2408508","3"
"R-GGA-9843745","3"
"R-DRE-1566948","3"
"R-CEL-2428924","3"
"R-SSC-9793242","3"
"R-SSC-1296053","3"
"R-CEL-69613","3"
"R-SPO-373076","3"
"R-GGA-110373","3"
"R-CEL-351200","3"
"R-CFA-1296059","3"
"R-HSA-9006927","3"
"R-SSC-8857538","3"
"R-DRE-196780","3"
"R-CEL-2142688","3"
"R-DME-73886","3"
"C566130","3"
"R-BTA-388844","3"
"R-SSC-5660668","3"
"R-SCE-5693538","3"
"R-MMU-5357801","3"
"R-CFA-1632852","3"
"R-SSC-111452","3"
"R-BTA-5693537","3"
"R-PFA-156590","3"
"R-CEL-168928","3"
"R-GGA-199418","3"
"R-GGA-9017802","3"
"R-DME-5358606","3"
"R-BTA-888593","3"
"R-GGA-9759218","3"
"R-XTR-190872","3"
"R-SPO-432030","3"
"R-GGA-210745","3"
"R-SSC-69656","3"
"R-GGA-2160916","3"
"R-SSC-8866427","3"
"R-HSA-975574","3"
"R-DME-210693","3"
"R-BTA-9027307","3"
"R-RNO-186712","3"
"R-BTA-376172","3"
"R-MMU-391251","3"
"R-SCE-69613","3"
"R-CEL-2555396","3"
"R-XTR-163359","3"
"R-SPO-2187338","3"
"R-GGA-5693537","3"
"R-DME-1614517","3"
"R-DDI-163754","3"
"R-GGA-9696270","3"
"R-BTA-446193","3"
"R-DME-68881","3"
"R-SCE-202131","3"
"R-SSC-9627069","3"
"R-SPO-166166","3"
"R-PFA-2995410","3"
"R-DME-8877627","3"
"R-MMU-69236","3"
"R-DRE-442720","3"
"R-RNO-389542","3"
"R-DRE-114516","3"
"R-CEL-3134973","3"
"R-DME-6814848","3"
"R-GGA-264870","3"
"R-XTR-390466","3"
"R-HSA-2206305","3"
"R-CFA-156584","3"
"R-DME-5627117","3"
"R-DME-5576894","3"
"R-SSC-1474151","3"
"R-CEL-192456","3"
"R-CEL-6807062","3"
"R-XTR-2172127","3"
"R-SSC-434316","3"
"R-SCE-880009","3"
"R-RNO-141424","3"
"R-BTA-390648","3"
"R-CEL-400508","3"
"R-SCE-210500","3"
"R-SSC-174414","3"
"R-SCE-2730905","3"
"R-DRE-9036866","3"
"R-DDI-157579","3"
"R-GGA-8934903","3"
"R-HSA-5656364","3"
"R-GGA-2468052","3"
"R-CFA-5653656","3"
"R-HSA-5619109","3"
"R-DRE-168176","3"
"R-SCE-975138","3"
"R-DRE-69580","3"
"R-GGA-388844","3"
"R-XTR-1592230","3"
"R-CEL-77285","3"
"R-DME-194138","3"
"R-SCE-211897","3"
"R-DME-8963678","3"
"C566737","3"
"R-GGA-109703","3"
"R-CFA-1362409","3"
"R-CEL-73929","3"
"R-SSC-879518","3"
"R-XTR-9861718","3"
"R-HSA-5579014","3"
"R-RNO-203754","3"
"R-SSC-77108","3"
"R-HSA-5619104","3"
"R-HSA-9637679","3"
"R-HSA-9006821","3"
"R-DDI-991365","3"
"R-DDI-109703","3"
"R-HSA-5579020","3"
"R-HSA-9675132","3"
"R-DDI-72312","3"
"R-CEL-448424","3"
"R-DRE-8953897","3"
"R-DDI-5649702","3"
"R-SCE-168138","3"
"R-CFA-2022090","3"
"R-RNO-5660526","3"
"R-BTA-8951430","3"
"R-DME-69613","3"
"R-CEL-1614517","3"
"R-PFA-422356","3"
"R-GGA-9616222","3"
"C536797","3"
"R-GGA-1296052","3"
"R-CEL-5218859","3"
"R-DRE-373760","3"
"R-GGA-9032500","3"
"R-CFA-141424","3"
"R-DME-5685942","3"
"C564484","3"
"R-DME-77288","3"
"R-GGA-380615","3"
"MIM:620058","3"
"R-BTA-1483148","3"
"R-CFA-9707564","3"
"C536683","3"
"R-SSC-209905","3"
"R-DDI-1236975","3"
"R-SSC-75108","3"
"R-SCE-948021","3"
